file	width	height	bytes	sha256
10-appearance-persisted.png	1456	908	72585	a7e32f7c9d056cbbe1055baae2e324489ef1e7efadb4d1bf7e0b04cde68ea226
10-archived-session.png	1456	908	33544	0945b56461785bc1287be5a15ec2c6bf099084d2662eb652fdea1917f038e22d
10-linked-theme-reload.png	1456	908	98646	1e6a1f6bc3755e663cee1eeebef245787d989dfc7e3fa5276fb5a01f67c388c3
10-notification-settings-persisted.png	1456	908	51405	f1950169af572664c596eab542495e2be24d357a3214fde1578c2781c19e8319
10-server-persisted.png	1456	908	51408	8dd82dac026e5fec5af033bb186431a753cf8a856d1404778370bb4fffc8629e
10-server-unreachable.png	680	200	8910	65cf913db970607fe366344d5ec3b46d98e4c95b830b7913e409a9025146a568
10-shortcut-persisted.png	1456	908	72506	26e0d97ca043aea5cc196f83906545a2ff3d86ab172dfd52cf16674c11ba0357
10-shortcut-remapped.png	1456	908	82658	682341699d3bd9185cb8126c8e2face9b7a70654d5068fcc861684ca8f58d97d
10-surya-light-theme.png	1456	908	89782	f6f9d13bc2808d2a769be6e2f36e04f31cce3e6ef428f88d74da49feb4bcf072
10-theme-import.png	1456	908	77210	961a19a7136a34615eba2fdbb8165d81476d37049e7cc2c1126086bfa2523203
11-before-shutdown.png	1456	908	127184	48c47618a9f6a2b3123e53fd9472f8e620afbfa73f0eff0055b9a84d37a25035
